X,Y,name,midas
-69.8335437644,44.4665847726,-5285-Belgrade,"5285"
-69.8335737752,44.4655470024,-5287-Belgrade,"5287"
-68.8279276579,45.7984469436,"""Lower"" Twin Pond-2103-T2 R9 WELS","2103"
-68.8339754882,45.8008139787,"""Upper"" Twin Pond-2102-T2 R9 WELS","2102"
-70.1188605886,45.2618334362,(Little) Fish Pond-6094-Pierce Pond Twp,"6094"
-69.3598638039,45.5201449767,1st Little Lyford Pond-430-Bowdoin College Grant East Twp,"0430"
-68.9050388638,47.0607931174,1st Pelletier Brook Lk-1564-T16 R9 WELS,"1564"
-69.5187856813,46.3835112648,1st So. Br. Russell Pd-2978-T8 R14 WELS,"2978"
-69.3643662417,45.5230998743,2nd Little Lyford Pond-428-Bowdoin College Grant East Twp,"0428"
-68.8966386289,47.0525788587,2nd Pelletier Brook Lk-1566-T16 R9 WELS,"1566"
-69.5220704218,46.3733817806,2nd So. Br. Russell Pd-2988-T8 R14 WELS,"2988"
-68.8891879306,47.0461712339,3rd Pelletier Brook Lk-1560-T16 R9 WELS,"1560"
-68.8896167475,47.0279379581,4th Pelletier Brook Lk-1562-T16 R9 WELS,"1562"
-68.8850367946,46.9812058151,5th Pelletier Brook Lk-1504-T15 R9 WELS,"1504"
-68.9252133,46.9813259245,6th Pelletier Brook Lk-1502-T15 R9 WELS,"1502"
-69.0055299629,45.3270869258,Abbee Pond-940-Brownville,"0940"
-70.9720747414,45.2980717486,Abbie Pond-3360-Bowmantown Twp,"3360"
-70.5156523004,44.4294528183,Abbotts Pond-3472-Sumner,"3472"
-69.0119338648,45.8437102386,Abol Deadwater-2058-T2 R10 WELS,"2058"
-68.9695703367,45.8329349917,Abol Deadwater Pd-east-6510-T2 R10 WELS,"6510"
-68.9820804925,45.8349289543,Abol Deadwater Pd-west-2058-T2 R10 WELS,"2058"
-68.9244490402,45.8382457728,Abol Pond-2068-T2 R9 WELS,"2068"
-68.9218285726,45.8407277123,Abol Pond (North)-2068-T2 R9 WELS,"2068"
-68.2489074786,44.6546274127,Abrams Pond-4444-Eastbrook,"4444"
-67.223125648,44.6760220888,Ackley Pond-1398-Cutler,"1398"
-68.532052764,46.088374753,Ackley Pond-2200-Mount Chase,"2200"
-70.6362643189,43.8229355393,Adams Pond-3368-Standish,"3368"
-70.7116704243,43.9950088572,Adams Pond-3396-Bridgton,"3396"
-70.9085483304,43.6445491962,Adams Pond-3890-Newfield,"3890"
-69.6316684751,43.8922299037,Adams Pond-5366-Boothbay,"5366"
-69.7980495708,44.5012686461,Adeles Frog Pond-5283-Belgrade,"5283"
-70.3818578936,44.8301804986,Adley Pond-2324-Phillips,"2324"
-68.7002133077,44.5798487929,Alamoosook Lake-4336-Orland,"4336"
-70.4535686169,43.6825370783,Aldens Pond-515-Gorham,"0515"
-68.1114420598,46.6329110882,Alder Brook Lake-1779-Chapman,"1779"
-68.1690625647,46.6141387376,Alder Lake-1778-Chapman,"1778"
-70.2160897397,45.3310547487,Alder Pond-120-T3 R5 BKP WKR,"0120"
-70.1074112836,45.7926923931,Alder Pond-2504-Alder Brook Twp,"2504"
